user_id,country,hour,failed_attempts,new_location,geo_impossible,ip_reputation_score,is_vpn_tor,is_anomaly
user_31@securebank.com,India,22,1,0,0,22,0,0
user_37@securebank.com,Belarus,3,6,1,0,79,1,1
user_21@securebank.com,India,13,0,0,0,25,0,0
user_0@securebank.com,Germany,17,0,1,0,21,0,0
user_47@securebank.com,Germany,14,1,0,0,0,0,0
user_45@securebank.com,India,21,0,0,0,18,0,0
user_31@securebank.com,US,18,1,0,0,15,0,0
user_25@securebank.com,India,18,0,0,0,13,0,0
user_0@securebank.com,India,21,0,0,0,8,0,0
user_26@securebank.com,India,12,1,0,0,12,0,0
user_0@securebank.com,India,16,0,0,0,4,0,0
user_36@securebank.com,India,13,1,1,0,2,0,0
user_7@securebank.com,India,11,0,0,0,16,0,0
user_40@securebank.com,India,17,1,0,0,6,0,0
user_33@securebank.com,India,10,0,0,0,0,0,0
user_9@securebank.com,India,21,0,0,0,2,0,0
user_27@securebank.com,Germany,17,0,0,0,10,0,0
user_25@securebank.com,India,10,0,0,0,7,0,0
user_24@securebank.com,US,12,1,1,0,15,0,0
user_23@securebank.com,India,14,1,1,0,8,0,0
user_42@securebank.com,India,16,1,0,0,13,0,0
user_13@securebank.com,India,20,0,0,0,24,0,0
user_1@securebank.com,India,16,1,1,0,13,0,0
user_49@securebank.com,India,13,1,0,0,5,0,0
user_33@securebank.com,US,21,0,0,0,14,0,0
user_6@securebank.com,India,10,1,0,0,6,0,0
user_43@securebank.com,India,16,0,0,0,24,0,0
user_42@securebank.com,North Korea,3,4,1,0,63,1,1
user_48@securebank.com,India,20,0,1,0,19,0,0
user_28@securebank.com,Germany,18,1,1,0,15,0,0
user_39@securebank.com,US,19,0,0,0,0,0,0
user_33@securebank.com,India,17,0,0,0,4,0,0
user_10@securebank.com,India,10,1,0,0,12,0,0
user_8@securebank.com,India,10,0,0,0,18,0,0
user_37@securebank.com,India,11,1,1,0,16,0,0
user_24@securebank.com,Germany,19,1,0,0,8,0,0
user_40@securebank.com,US,18,0,0,0,12,0,0
user_5@securebank.com,India,15,0,0,0,25,0,0
user_6@securebank.com,India,13,0,1,0,20,0,0
user_39@securebank.com,India,16,0,0,0,18,0,0
user_4@securebank.com,India,16,1,0,0,1,0,0
user_42@securebank.com,Belarus,3,6,1,0,98,0,1
user_8@securebank.com,China,0,9,1,1,63,1,1
user_19@securebank.com,Germany,8,1,1,0,25,0,0
user_46@securebank.com,India,14,0,0,0,15,0,0
user_42@securebank.com,Germany,22,1,0,0,18,0,0
user_45@securebank.com,India,19,1,0,0,17,0,0
user_31@securebank.com,Germany,21,1,0,0,5,0,0
user_45@securebank.com,India,18,1,0,0,19,0,0
user_40@securebank.com,Germany,19,0,0,0,21,0,0
user_46@securebank.com,Germany,19,1,1,0,17,0,0
user_23@securebank.com,India,18,0,1,0,20,0,0
user_36@securebank.com,US,8,0,0,0,12,0,0
user_1@securebank.com,North Korea,5,10,1,1,83,0,1
user_37@securebank.com,India,8,0,0,0,24,0,0
user_25@securebank.com,India,12,0,1,0,11,0,0
user_21@securebank.com,India,19,0,0,0,5,0,0
user_10@securebank.com,North Korea,1,3,1,0,93,1,1
user_33@securebank.com,India,9,1,0,0,9,0,0
user_30@securebank.com,Germany,12,1,0,0,4,0,0
user_5@securebank.com,Germany,13,1,1,0,16,0,0
user_9@securebank.com,India,13,1,0,0,6,0,0
user_26@securebank.com,India,16,1,0,0,9,0,0
user_9@securebank.com,US,19,1,0,0,7,0,0
user_41@securebank.com,India,22,1,0,0,0,0,0
user_36@securebank.com,China,2,10,1,0,88,1,1
user_10@securebank.com,India,8,0,0,0,8,0,0
user_39@securebank.com,North Korea,5,8,1,0,68,1,1
user_43@securebank.com,India,21,0,0,0,6,0,0
user_26@securebank.com,Germany,22,0,0,0,7,0,0
user_2@securebank.com,India,19,1,0,0,24,0,0
user_40@securebank.com,Germany,18,1,0,0,17,0,0
user_20@securebank.com,India,10,0,0,0,2,0,0
user_26@securebank.com,India,18,1,0,0,23,0,0
user_21@securebank.com,Germany,21,0,1,0,2,0,0
user_19@securebank.com,North Korea,5,4,1,0,64,1,1
user_23@securebank.com,India,22,0,0,0,1,0,0
user_37@securebank.com,India,21,0,1,0,6,0,0
user_35@securebank.com,Germany,18,1,1,0,22,0,0
user_18@securebank.com,India,14,0,1,0,0,0,0
user_30@securebank.com,Germany,16,0,0,0,6,0,0
user_6@securebank.com,Russia,1,5,1,1,91,1,1
user_45@securebank.com,India,21,1,0,0,18,0,0
user_11@securebank.com,India,19,1,1,0,14,0,0
user_17@securebank.com,India,15,0,0,0,21,0,0
user_24@securebank.com,Germany,19,0,1,0,6,0,0
user_31@securebank.com,India,9,1,0,0,6,0,0
user_25@securebank.com,Germany,18,0,0,0,1,0,0
user_30@securebank.com,India,15,0,0,0,13,0,0
user_24@securebank.com,Germany,11,0,0,0,9,0,0
user_45@securebank.com,US,9,1,0,0,19,0,0
user_34@securebank.com,US,22,0,0,0,1,0,0
user_47@securebank.com,India,21,1,0,0,8,0,0
user_36@securebank.com,US,11,0,0,0,22,0,0
user_45@securebank.com,India,20,1,0,0,0,0,0
user_43@securebank.com,India,13,0,1,0,13,0,0
user_12@securebank.com,India,9,0,1,0,10,0,0
user_40@securebank.com,Germany,16,1,0,0,24,0,0
user_19@securebank.com,Germany,16,0,0,0,10,0,0
user_27@securebank.com,India,13,0,0,0,14,0,0
user_47@securebank.com,India,22,1,0,0,2,0,0
user_43@securebank.com,India,16,0,0,0,4,0,0
user_29@securebank.com,India,10,1,0,0,22,0,0
